index_caracteristique_interieure;surface_carrez;type_local;nombre_ pieces_principales;index_adresse
896;22.96;Appartement;2;896
897;36.73;Appartement;2;897
898;80.13;Appartement;3;898
899;75.71;Appartement;3;899
900;54.44;Appartement;3;900
901;23.32;Appartement;1;901
902;54.27;Appartement;2;902
903;25.13;Appartement;1;903
904;24.16;Appartement;1;904
905;51.18;Appartement;2;905
906;41.09;Appartement;2;906
907;95.69;Appartement;4;907
908;57.92;Appartement;2;908
909;31.03;Appartement;1;909
910;22.01;Appartement;1;910
911;171.05;Appartement;5;911
912;18.29;Appartement;1;912
913;35.3;Appartement;2;913
914;72.05;Appartement;3;914
915;47.59;Appartement;2;915
916;60.79;Appartement;3;916
917;82.52;Appartement;3;917
918;52.19;Appartement;3;918
919;38.46;Appartement;2;919
920;32.2;Appartement;1;920
921;49.04;Appartement;2;921
922;71.59;Appartement;3;922
923;55.1;Appartement;2;923
924;54.06;Appartement;1;924
925;26.14;Appartement;1;925
926;22.49;Appartement;1;926
927;46.48;Appartement;2;927
928;80.18;Appartement;4;928
929;54.09;Appartement;3;929
