index_adresse;numero_voie;complement_numero_voie;type_de_voie;nom_voie;code_postal;commune
3267;9009;;VC;CLOS BEAUCHAMP;13 600 ;LA CIOTAT
3268;105;;BD;DU CABOT;13 009 ;MARSEILLE 9EME
3269;365;;CHE;DE ST JOSEPH;13 400 ;AUBAGNE
3270;3;;RUE;ERNEST RENAN;13 600 ;LA CIOTAT
3271;88;;AV;DE MAZARGUES;13 008 ;MARSEILLE 8EME
3272;9101;;RES;CASSIS LE VALLAT;13 260 ;CASSIS
3273;10;;RUE;ROLLAND;13 360 ;ROQUEVAIRE
3274;18;;RUE;THERESE RASTIT;13 260 ;CASSIS
3275;13;;ALL;ALBENIZ;13 008 ;MARSEILLE 8EME
3276;5311;F;ALL;DES VERRIERS;13 400 ;AUBAGNE
3277;250;;CHE;ARENE CROS;13 600 ;LA CIOTAT
3278;5081;F;RTE;NATIONALE 560;13 390 ;AURIOL
3279;2;;ALL;DES MICOCOULIERS;13 830 ;ROQUEFORT LA BEDOULE
3280;31;;ALL;ALBENIZ;13 008 ;MARSEILLE 8EME
3281;6;;RUE;MARIUS LIEUTAUD;13 600 ;LA CIOTAT
3282;7;;RUE;PASTEUR;13 260 ;CASSIS
3283;4;;RUE;DE LA CALANQUE;13 008 ;MARSEILLE 8EME
3284;5168;;;RES LES JARDINS D'EDEN;13 009 ;MARSEILLE 9EME
3285;395;;RUE;PARADIS;13 008 ;MARSEILLE 8EME
3286;22;;TRA;PUPAT;13 008 ;MARSEILLE 8EME
3287;88;;AV;DU BAGUIER;13 600 ;LA CIOTAT
3288;62;;CHE;DU LANCIER;13 008 ;MARSEILLE 8EME
3289;83;;BD;DU REDON;13 009 ;MARSEILLE 9EME
3290;21;;RUE;JEAN MERMOZ;13 008 ;MARSEILLE 8EME
3291;2;;AV;CLAUDE DEBUSSY;13 470 ;CARNOUX-EN-PROVENCE
3292;10;;AV;ALICE;13 400 ;AUBAGNE
3293;20;;RUE;CANOLLE;13 600 ;LA CIOTAT
3294;9001;;RUE;RENARDE;13 400 ;AUBAGNE
3295;47;;RUE;LIANDIER;13 008 ;MARSEILLE 8EME
3296;9001;;RES;CASSIS BELLEVUE;13 260 ;CASSIS
3297;9046;;CHE;DU VAL DES BOIS;13 009 ;MARSEILLE 9EME
3298;9013;;AV;DES ALOUETTES;13 600 ;LA CIOTAT
3299;85;;CHE;DU LAOUVAS;13 112 ;LA DESTROUSSE
3300;930;F;CHE;DU CHARREL;13 400 ;AUBAGNE
3301;39;;BD;DE MOSTAGANEM PROLONGE;13 009 ;MARSEILLE 9EME
3302;1;;ALL;GOYA;13 008 ;MARSEILLE 8EME
3303;9001;;RES;LES ROMARINS;13 470 ;CARNOUX-EN-PROVENCE
3304;12;;AV;DE L ABBE CABROL;13 260 ;CASSIS
3305;5764;;;LE VILLAGE;13 390 ;AURIOL
3306;4;;CRS;DU 4 SEPTEMBRE;13 390 ;AURIOL
3307;20;;PARC;DROMEL;13 009 ;MARSEILLE 9EME
3308;9001;;;BEAUVALLON LES CEDRES;13 009 ;MARSEILLE 9EME
3309;11;;RUE;RENE OLLIER;13 470 ;CARNOUX-EN-PROVENCE
3310;296;;BD;ROMAIN ROLLAND;13 009 ;MARSEILLE 9EME
3311;21;;AV;MIREILLE;13 009 ;MARSEILLE 9EME
3312;83;;BD;DU REDON;13 009 ;MARSEILLE 9EME
3313;5718;F;;LE CHARREL SUD;13 400 ;AUBAGNE
3314;5778;;;LA BOURINE;13 720 ;LA BOUILLADISSE
3315;73;;RUE;DU ROUET;13 008 ;MARSEILLE 8EME
3316;40;;BD;DE SAINTE MARGUERITE;13 009 ;MARSEILLE 9EME
3317;9011;;;LA TREYERE;13 850 ;GREASQUE
3318;126;;RUE;AUGUSTIN AUBERT;13 009 ;MARSEILLE 9EME
3319;9001;;RES;VAL D AZUR;13 600 ;LA CIOTAT
3320;107;;BD;DU CABOT;13 009 ;MARSEILLE 9EME
3321;121;;BD;PAUL CLAUDEL;13 009 ;MARSEILLE 9EME
3322;49;;TSSE;DES BONNETS;13 013 ;MARSEILLE 13EME
3323;36;;AV;DE SAINT BARNABE;13 012 ;MARSEILLE 12EME
3324;27;;TSSE;DE LA MALVINA;13 012 ;MARSEILLE 12EME
3325;29;;PARC;DES VIEUX CYPRES;13 013 ;MARSEILLE 13EME
3326;5076;F;PARC;DESSUARD;13 012 ;MARSEILLE 12EME
3327;9412;;BD;ANDRE MALRAUX;13 380 ;PLAN DE CUQUES
3328;10;;BD;LIONEL TERRAY;13 013 ;MARSEILLE 13EME
3329;31;;RUE;EMILE CAILLOL;13 012 ;MARSEILLE 12EME
3330;153;;CHE;DE CHATEAU GOMBERT;13 013 ;MARSEILLE 13EME
3331;5001;F;RES;FONDACLE;13 013 ;MARSEILLE 13EME
3332;27;;TSSE;DE LA MALVINA;13 012 ;MARSEILLE 12EME
3333;24;;AV;COROT;13 013 ;MARSEILLE 13EME
3334;22;;BD;GINIEZ;13 380 ;PLAN DE CUQUES
3335;151;;RUE;DU DOCTEUR CAUVIN;13 012 ;MARSEILLE 12EME
3336;164;;BD;DE LA MILLIERE;13 011 ;MARSEILLE 11EME
3337;139;;AV;DES OLIVES;13 013 ;MARSEILLE 13EME
3338;59;;RUE;BEAU;13 004 ;MARSEILLE 12EME
3339;5;;RUE;JEAN BAPTISTE MICHEL;13 380 ;PLAN DE CUQUES
3340;5080;F;CHE;LES GONAGUES;13 190 ;ALLAUCH
3341;24;;AV;COROT;13 013 ;MARSEILLE 13EME
3342;61;;AV;DE LA FOURRAGERE;13 012 ;MARSEILLE 12EME
3343;5001;F;RES;FONDACLE;13 013 ;MARSEILLE 13EME
3344;5056;F;TRA;DES FAIENCIERS;13 011 ;MARSEILLE 11EME
3345;1;;AV;DE VALDONNE;13 013 ;MARSEILLE 13EME
